invoice_id,buyer_name,invoice_amount,issue_date,due_date,payment_date
INV-1050,Maple Books,16234.28,2024-02-09,2024-03-10,2024-03-19
INV-1051,City Hospitals,44646.96,2024-02-10,2024-03-26,2024-03-24
INV-1052,Indus Logistics,15486.03,2024-02-10,2024-03-11,2024-03-11
INV-1053,Unity Wholesalers,23567.34,2024-02-10,2024-03-02,2024-02-29
INV-1054,Harbor Ports,22553.29,2024-02-10,2024-04-10,2024-04-27
INV-1055,Metro Builders,41200.65,2024-02-11,2024-03-12,2024-03-31
INV-1056,Radiant Apparel,12594.13,2024-02-11,2024-03-12,2024-03-12
INV-1057,Vertex Robotics,54453.82,2024-02-11,2024-03-27,2024-04-01
INV-1058,Xenon Batteries,31113.52,2024-02-11,2024-03-27,2024-04-05
INV-1059,Quill Stationery,3755.55,2024-02-12,2024-03-04,2024-03-02
INV-1060,Vista Packaging,30951.8,2024-02-13,2024-03-29,2024-03-29
INV-1061,Urban Café Chain,12720.44,2024-02-13,2024-03-05,2024-03-14
INV-1062,Pearl Cosmetics,17826.51,2024-02-14,2024-03-15,2024-03-30
INV-1063,Bharat Tyres,15209.69,2024-02-15,2024-03-16,2024-03-30
INV-1064,Prime Agro,11828.56,2024-02-16,2024-04-01,2024-04-17
INV-1065,Quantum Steel,15158.56,2024-02-16,2024-03-08,2024-03-17
INV-1066,Titan Auto Parts,34512.76,2024-02-16,2024-03-08,2024-03-06
INV-1067,Aarav Spices,5358.06,2024-02-16,2024-03-08,2024-03-08
INV-1068,Falcon Aviation,9076.36,2024-02-16,2024-03-08,2024-03-03
INV-1069,Jade Organics,7038.49,2024-02-16,2024-03-17,2024-03-17
INV-1070,Zenith Chemicals,22009.8,2024-02-17,2024-03-18,2024-03-26
INV-1071,Ocean Fisheries,12734.74,2024-02-17,2024-03-18,2024-04-21
INV-1072,Triveni Power,45793.18,2024-02-17,2024-03-09,2024-03-08
INV-1073,Arjun Hardware,6069.88,2024-02-17,2024-03-18,2024-03-23
INV-1074,Echo Manufacturing,29924.67,2024-02-18,2024-04-03,2024-04-18
INV-1075,Yellow Cab Fleet,7693.96,2024-02-18,2024-03-19,2024-04-02
INV-1076,Alpha Retail,9874.33,2024-02-19,2024-03-05,2024-03-05
INV-1077,Fresh Mart,14992.82,2024-02-19,2024-04-04,2024-04-09
INV-1078,Horizon Tech,45585.42,2024-02-19,2024-04-04,2024-04-27
INV-1079,Nova Pharma,38493.84,2024-02-19,2024-03-20,2024-03-20
INV-1080,Bright Solar,40761.55,2024-02-19,2024-03-05,2024-02-29
INV-1081,Garnet Media,14008.1,2024-02-19,2024-03-11,2024-03-11
INV-1082,Ivory Ceramics,36482.76,2024-02-19,2024-03-05,2024-03-03
INV-1083,Delta Traders,17865.43,2024-02-20,2024-03-06,2024-03-04
INV-1084,Beta Foods,21202.81,2024-02-21,2024-04-06,2024-04-26
INV-1085,Summit Cement,26613.25,2024-02-21,2024-04-06,2024-04-20
INV-1086,Dhanvi Jewels,16452.14,2024-02-21,2024-03-22,2024-03-31
INV-1087,Ridge Minerals,66706.52,2024-02-21,2024-04-06,2024-05-10
INV-1088,Orbit Electronics,21621.89,2024-02-22,2024-03-23,2024-04-01
INV-1089,Cedar Furniture,12904.14,2024-02-22,2024-03-23,2024-04-12
INV-1090,Orbit Electronics,17201.66,2024-02-23,2024-04-08,2024-04-17
INV-1091,Walnut Woods,17115.99,2024-02-23,2024-03-15,2024-03-14
INV-1092,Titan Auto Parts,26713.88,2024-02-24,2024-03-25,2024-04-03
INV-1093,Global Textiles,29003.06,2024-02-25,2024-03-26,2024-03-26
INV-1094,Chirag Plastics,23116.67,2024-02-25,2024-03-11,2024-03-11
INV-1095,Everest Mines,20008.59,2024-02-26,2024-03-27,2024-04-10
INV-1096,Kite Interiors,11922.71,2024-02-26,2024-03-27,2024-04-14
INV-1097,Maple Books,7514.92,2024-02-26,2024-03-18,2024-03-16
INV-1098,Zara Knitwear,24614.28,2024-02-27,2024-03-28,2024-03-27
INV-1099,Harbor Ports,14670.14,2024-02-28,2024-04-28,2024-05-01
INV-1100,Lotus Ayurveda,20566.24,2024-02-28,2024-03-14,2024-03-14
INV-1101,City Hospitals,37498.76,2024-02-29,2024-03-30,2024-03-30
INV-1102,Unity Wholesalers,16224.95,2024-02-29,2024-03-30,2024-03-25
INV-1103,Pearl Cosmetics,4335.05,2024-03-01,2024-03-22,2024-03-31
INV-1104,Quill Stationery,11163.44,2024-03-02,2024-03-23,2024-03-22
INV-1105,Kite Interiors,11728.57,2024-03-03,2024-04-02,2024-04-11
INV-1106,Indus Logistics,5068.99,2024-03-04,2024-03-25,2024-04-03
INV-1107,Indus Logistics,15651.93,2024-03-04,2024-04-18,2024-05-03
INV-1108,Saffron Exports,12394.46,2024-03-04,2024-03-25,2024-03-30
INV-1109,Urban Café Chain,3727.22,2024-03-04,2024-03-25,2024-03-25
INV-1110,Triveni Power,52630.95,2024-03-05,2024-03-20,2024-03-20
INV-1111,Willow Dairy,21869.26,2024-03-06,2024-03-21,2024-03-20
INV-1112,Vertex Robotics,53066.22,2024-03-06,2024-05-05,2024-05-21
INV-1113,Bharat Tyres,12779.88,2024-03-06,2024-04-20,2024-04-23
INV-1114,Beta Foods,20295.17,2024-03-07,2024-04-06,2024-04-18
INV-1115,Metro Builders,46561.54,2024-03-07,2024-04-21,2024-05-15
INV-1116,Falcon Aviation,8527.54,2024-03-07,2024-03-22,2024-03-21
INV-1117,Radiant Apparel,22776.95,2024-03-08,2024-04-07,2024-04-06
INV-1118,Zenith Chemicals,36381.46,2024-03-08,2024-05-07,2024-06-18
INV-1119,Garnet Media,18887.23,2024-03-08,2024-04-22,2024-04-22
INV-1120,Xenon Batteries,24221.47,2024-03-08,2024-03-29,2024-04-03
INV-1121,Fresh Mart,11538.16,2024-03-09,2024-03-30,2024-04-04
INV-1122,Unity Wholesalers,6063.54,2024-03-09,2024-04-08,2024-04-07
INV-1123,Nimbus Cloud Soft,47056.09,2024-03-09,2024-04-08,2024-04-03
INV-1124,Summit Cement,52635.48,2024-03-10,2024-04-24,2024-05-07
INV-1125,Ivory Ceramics,17538.16,2024-03-10,2024-03-25,2024-03-23
INV-1126,Yellow Cab Fleet,22864.25,2024-03-10,2024-04-24,2024-05-31
INV-1127,Chirag Plastics,14409.31,2024-03-10,2024-03-31,2024-03-31
INV-1128,Ocean Fisheries,19459.52,2024-03-11,2024-04-10,2024-04-22
INV-1129,Nova Pharma,37145.91,2024-03-12,2024-03-27,2024-03-22
INV-1130,Aarav Spices,18641.89,2024-03-12,2024-04-02,2024-04-07
INV-1131,Ridge Minerals,61136.75,2024-03-12,2024-04-26,2024-05-13
INV-1132,Ridge Minerals,50007.83,2024-03-13,2024-04-27,2024-05-17
INV-1133,Metro Builders,52133.09,2024-03-14,2024-04-28,2024-05-23
INV-1134,Quantum Steel,15798.67,2024-03-14,2024-04-13,2024-04-28
INV-1135,Echo Manufacturing,26329.84,2024-03-15,2024-04-14,2024-05-17
INV-1136,Radiant Apparel,11746.46,2024-03-15,2024-04-14,2024-04-12
INV-1137,Cedar Furniture,14959.17,2024-03-15,2024-05-14,2024-06-04
INV-1138,Jade Organics,11588.55,2024-03-15,2024-04-14,2024-04-19
INV-1139,Walnut Woods,22557.72,2024-03-15,2024-03-30,2024-03-29
INV-1140,Global Textiles,17332.79,2024-03-16,2024-04-15,2024-04-10
INV-1141,Horizon Tech,25682.82,2024-03-16,2024-05-15,2024-06-12
INV-1142,Zara Knitwear,11151.85,2024-03-16,2024-04-06,2024-04-04
INV-1143,Pearl Cosmetics,13834.18,2024-03-17,2024-04-07,2024-04-07
INV-1144,Willow Dairy,5862.41,2024-03-18,2024-04-17,2024-04-16
INV-1145,Bright Solar,19138.41,2024-03-18,2024-04-17,2024-04-15
INV-1146,Arjun Hardware,8288.09,2024-03-18,2024-04-17,2024-04-26
INV-1147,Quill Stationery,14289.38,2024-03-19,2024-04-03,2024-03-29
INV-1148,Prime Agro,7766.2,2024-03-20,2024-05-04,2024-05-07
INV-1149,Titan Auto Parts,33506.65,2024-03-20,2024-05-04,2024-05-09
INV-1150,Dhanvi Jewels,14738.29,2024-03-20,2024-05-04,2024-05-09
INV-1151,Nimbus Cloud Soft,49884.97,2024-03-20,2024-04-10,2024-04-08
INV-1152,Ocean Fisheries,12641.55,2024-03-20,2024-05-04,2024-05-18
INV-1153,Alpha Retail,7202.72,2024-03-21,2024-04-05,2024-03-31
INV-1154,Vista Packaging,13919.59,2024-03-21,2024-05-05,2024-05-05
INV-1155,Alpha Retail,13248.3,2024-03-22,2024-04-21,2024-04-21
INV-1156,Global Textiles,17403.42,2024-03-22,2024-04-06,2024-04-01
INV-1157,Garnet Media,12702.88,2024-03-22,2024-04-21,2024-04-26
INV-1158,Lotus Ayurveda,13983.51,2024-03-22,2024-04-06,2024-04-04
INV-1159,Maple Books,15135.01,2024-03-22,2024-05-06,2024-05-06
INV-1160,Bharat Tyres,9815.69,2024-03-22,2024-05-06,2024-05-26
INV-1161,City Hospitals,14451.27,2024-03-23,2024-04-22,2024-04-27
INV-1162,Everest Mines,38815.85,2024-03-23,2024-05-22,2024-06-05
INV-1163,Falcon Aviation,18124.13,2024-03-23,2024-04-22,2024-04-20
INV-1164,Yellow Cab Fleet,16002.2,2024-03-23,2024-05-07,2024-05-22
INV-1165,Delta Traders,9885.21,2024-03-24,2024-04-23,2024-04-18
INV-1166,Global Textiles,24686.01,2024-03-24,2024-04-08,2024-04-06
INV-1167,Horizon Tech,34763.59,2024-03-24,2024-04-23,2024-05-10
INV-1168,Saffron Exports,27712.5,2024-03-24,2024-05-08,2024-05-06
INV-1169,Harbor Ports,9890.38,2024-03-25,2024-05-24,2024-06-07
INV-1170,Vista Packaging,32240.12,2024-03-26,2024-04-25,2024-04-25
INV-1171,Urban Café Chain,9626.68,2024-03-26,2024-04-25,2024-04-30
INV-1172,Prime Agro,11879.02,2024-03-28,2024-05-12,2024-06-06
INV-1173,Kite Interiors,9918.66,2024-03-28,2024-05-12,2024-05-26
INV-1174,Saffron Exports,9014.94,2024-03-28,2024-04-18,2024-04-16
INV-1175,Cedar Furniture,3012.45,2024-03-29,2024-04-28,2024-05-12
INV-1176,Harbor Ports,8153.42,2024-03-29,2024-04-28,2024-05-06
INV-1177,Willow Dairy,20408.32,2024-03-30,2024-04-14,2024-04-09
INV-1178,Vertex Robotics,27019.78,2024-03-30,2024-05-29,2024-07-04
INV-1179,Xenon Batteries,20347.91,2024-03-30,2024-04-29,2024-05-04
INV-1180,Delta Traders,11191.46,2024-03-31,2024-04-30,2024-04-25
INV-1181,Orbit Electronics,49592.87,2024-03-31,2024-04-21,2024-05-06
INV-1182,Zenith Chemicals,32488.06,2024-03-31,2024-04-30,2024-06-01
INV-1183,Fresh Mart,10195.24,2024-04-03,2024-04-24,2024-04-24
INV-1184,Radiant Apparel,27977.33,2024-04-03,2024-05-03,2024-05-04
INV-1185,Summit Cement,48574.71,2024-04-03,2024-05-18,2024-06-09
INV-1186,Maple Books,12036.51,2024-04-03,2024-05-18,2024-05-23
INV-1187,Triveni Power,37484.68,2024-04-03,2024-04-24,2024-04-23
INV-1188,Alpha Retail,17453.75,2024-04-04,2024-05-04,2024-05-05
INV-1189,Fresh Mart,17695.58,2024-04-04,2024-05-19,2024-05-17
INV-1190,Metro Builders,43409.17,2024-04-05,2024-06-04,2024-06-18
INV-1191,Bright Solar,20945.52,2024-04-05,2024-04-26,2024-04-24
INV-1192,Pearl Cosmetics,2911.02,2024-04-05,2024-05-05,2024-05-10
INV-1193,City Hospitals,12511.8,2024-04-07,2024-05-22,2024-05-31
INV-1194,Zenith Chemicals,24116.9,2024-04-07,2024-05-22,2024-06-11
INV-1195,Echo Manufacturing,11698.57,2024-04-08,2024-05-08,2024-05-16
INV-1196,Aarav Spices,17570.37,2024-04-09,2024-04-30,2024-05-09
INV-1197,Ivory Ceramics,29755.33,2024-04-09,2024-04-24,2024-04-25
INV-1198,Yellow Cab Fleet,16062.3,2024-04-09,2024-05-24,2024-06-30
INV-1199,Beta Foods,4387.73,2024-04-10,2024-06-09,2024-06-23
INV-1200,Indus Logistics,23376.05,2024-04-10,2024-05-25,2024-05-30
INV-1201,Nova Pharma,27882.14,2024-04-10,2024-05-10,2024-05-10
INV-1202,Quantum Steel,31127.61,2024-04-10,2024-05-01,2024-05-16
INV-1203,Nimbus Cloud Soft,27830.42,2024-04-10,2024-05-10,2024-05-05
INV-1204,Urban Café Chain,11109.95,2024-04-10,2024-05-25,2024-05-23
INV-1205,Arjun Hardware,13253.84,2024-04-10,2024-05-10,2024-05-25
INV-1206,Nova Pharma,17692.22,2024-04-11,2024-04-26,2024-04-21
INV-1207,Zenith Chemicals,29330.2,2024-04-11,2024-06-10,2024-06-21
INV-1208,Bright Solar,44431.83,2024-04-11,2024-04-26,2024-04-26
INV-1209,Unity Wholesalers,19726.29,2024-04-12,2024-05-03,2024-05-04
INV-1210,Kite Interiors,6536.07,2024-04-12,2024-06-11,2024-07-01
INV-1211,Lotus Ayurveda,35210.1,2024-04-13,2024-05-04,2024-05-02
INV-1212,Walnut Woods,21249.18,2024-04-13,2024-05-04,2024-04-29
INV-1213,Xenon Batteries,53668.31,2024-04-13,2024-05-28,2024-06-06
INV-1214,Vertex Robotics,38336.87,2024-04-14,2024-06-13,2024-06-30
INV-1215,Vista Packaging,34148.11,2024-04-15,2024-05-30,2024-06-04
INV-1216,Zara Knitwear,16061.25,2024-04-15,2024-04-30,2024-04-29
INV-1217,Arjun Hardware,11697.11,2024-04-15,2024-05-06,2024-05-04
INV-1218,Falcon Aviation,15250.37,2024-04-16,2024-05-07,2024-05-07
INV-1219,Jade Organics,11537.21,2024-04-16,2024-05-31,2024-05-31
INV-1220,Nimbus Cloud Soft,17176.13,2024-04-16,2024-05-01,2024-05-01
INV-1221,Orbit Electronics,28258.55,2024-04-17,2024-05-17,2024-05-26
INV-1222,Willow Dairy,8128.49,2024-04-17,2024-05-02,2024-04-27
INV-1223,Aarav Spices,16297.73,2024-04-17,2024-06-01,2024-06-06
INV-1224,Echo Manufacturing,8398.31,2024-04-18,2024-06-02,2024-06-16
INV-1225,Orbit Electronics,23576.02,2024-04-20,2024-05-11,2024-05-20
INV-1226,Dhanvi Jewels,15587.92,2024-04-20,2024-05-11,2024-05-11
INV-1227,Walnut Woods,19745.9,2024-04-20,2024-05-11,2024-05-10
INV-1228,Horizon Tech,40896.26,2024-04-21,2024-05-21,2024-06-12
INV-1229,Dhanvi Jewels,17574.52,2024-04-21,2024-06-05,2024-06-20
INV-1230,Everest Mines,17992.43,2024-04-21,2024-05-21,2024-05-24
INV-1231,Titan Auto Parts,36188.74,2024-04-22,2024-05-13,2024-05-22
INV-1232,Lotus Ayurveda,18663.28,2024-04-23,2024-05-08,2024-05-08
INV-1233,Ocean Fisheries,7784.51,2024-04-23,2024-06-07,2024-06-27
INV-1234,Triveni Power,47637.27,2024-04-23,2024-05-23,2024-05-21
INV-1235,Chirag Plastics,33557.54,2024-04-23,2024-05-14,2024-05-12
INV-1236,Falcon Aviation,24531.25,2024-04-24,2024-05-24,2024-05-23
INV-1237,Quill Stationery,8832.72,2024-04-24,2024-05-09,2024-05-10
INV-1238,Bharat Tyres,10681.42,2024-04-24,2024-05-24,2024-06-07
INV-1239,Indus Logistics,18665.23,2024-04-25,2024-05-16,2024-05-21
INV-1240,Nova Pharma,15143.13,2024-04-25,2024-05-16,2024-05-16
INV-1241,Aarav Spices,10830.67,2024-04-25,2024-05-25,2024-05-30
INV-1242,Metro Builders,39432.36,2024-04-27,2024-06-26,2024-07-09
INV-1243,Summit Cement,19365.76,2024-04-27,2024-06-26,2024-07-10
INV-1244,Zara Knitwear,28249.66,2024-04-27,2024-05-27,2024-05-28
INV-1245,Bharat Tyres,8715.04,2024-04-27,2024-06-11,2024-07-01
INV-1246,Titan Auto Parts,26008.93,2024-04-28,2024-05-19,2024-05-28
INV-1247,Beta Foods,21317.45,2024-04-29,2024-06-13,2024-06-28
INV-1248,Quantum Steel,34134.27,2024-04-29,2024-05-20,2024-06-04
INV-1249,Fresh Mart,6765.02,2024-04-30,2024-05-21,2024-05-26
INV-1250,Everest Mines,25166.51,2024-04-30,2024-06-14,2024-06-28
INV-1251,Quill Stationery,7712.61,2024-04-30,2024-05-15,2024-05-10
INV-1252,Nova Pharma,27248.33,2024-05-01,2024-05-16,2024-05-17
INV-1253,Orbit Electronics,54576.06,2024-05-01,2024-05-22,2024-06-06
INV-1254,Unity Wholesalers,23535.87,2024-05-01,2024-05-22,2024-05-22
INV-1255,Garnet Media,16031.9,2024-05-02,2024-06-16,2024-06-21
INV-1256,Quill Stationery,11176.7,2024-05-02,2024-05-23,2024-05-21
INV-1257,Maple Books,17106.92,2024-05-03,2024-05-24,2024-05-29
INV-1258,City Hospitals,16198.3,2024-05-04,2024-06-03,2024-06-12
INV-1259,Cedar Furniture,8788.88,2024-05-04,2024-06-18,2024-06-26
INV-1260,Jade Organics,4278.18,2024-05-04,2024-06-03,2024-06-08
INV-1261,Maple Books,10914.33,2024-05-04,2024-06-18,2024-06-16
INV-1262,Zara Knitwear,27280.41,2024-05-04,2024-05-19,2024-05-18
INV-1263,Delta Traders,9053.84,2024-05-05,2024-05-20,2024-05-15
INV-1264,Saffron Exports,10051.5,2024-05-05,2024-06-04,2024-06-19
INV-1265,Arjun Hardware,11636.23,2024-05-05,2024-05-26,2024-06-04
INV-1266,Alpha Retail,3052.62,2024-05-06,2024-06-05,2024-05-31
INV-1267,Prime Agro,16857.22,2024-05-07,2024-06-06,2024-06-27
INV-1268,Lotus Ayurveda,19913.68,2024-05-07,2024-05-28,2024-05-27
INV-1269,Ivory Ceramics,37838.5,2024-05-08,2024-05-29,2024-05-27
INV-1270,Jade Organics,13745.99,2024-05-08,2024-06-07,2024-06-22
INV-1271,Ridge Minerals,25010.04,2024-05-08,2024-06-07,2024-06-10
INV-1272,Urban Café Chain,17384.17,2024-05-08,2024-06-22,2024-06-27
INV-1273,Zara Knitwear,12418.02,2024-05-08,2024-05-29,2024-05-28
INV-1274,Global Textiles,22794.98,2024-05-09,2024-05-30,2024-05-30
INV-1275,Ridge Minerals,48394.99,2024-05-09,2024-06-23,2024-07-16
INV-1276,Chirag Plastics,8471.55,2024-05-09,2024-06-08,2024-06-06
INV-1277,Echo Manufacturing,20429.96,2024-05-10,2024-06-24,2024-07-14
INV-1278,Horizon Tech,49039.7,2024-05-10,2024-06-09,2024-06-21
INV-1279,Harbor Ports,5367.53,2024-05-10,2024-06-09,2024-06-23
INV-1280,Metro Builders,43254.78,2024-05-11,2024-06-10,2024-07-19
INV-1281,Vertex Robotics,30990.78,2024-05-11,2024-06-10,2024-06-30
INV-1282,Everest Mines,70987.33,2024-05-12,2024-06-11,2024-06-29
INV-1283,Garnet Media,17398.56,2024-05-13,2024-06-27,2024-07-12
INV-1284,Ivory Ceramics,11803.03,2024-05-13,2024-05-28,2024-05-26
INV-1285,Saffron Exports,26180.54,2024-05-14,2024-06-28,2024-07-03
INV-1286,Prime Agro,6290.52,2024-05-15,2024-06-29,2024-07-13
INV-1287,Summit Cement,34439.48,2024-05-15,2024-06-14,2024-07-04
INV-1288,Urban Café Chain,7532.1,2024-05-15,2024-06-14,2024-06-29
INV-1289,Willow Dairy,19289.56,2024-05-16,2024-06-15,2024-06-14
INV-1290,Cedar Furniture,6284.05,2024-05-16,2024-07-15,2024-07-23
INV-1291,Falcon Aviation,7217.15,2024-05-16,2024-06-15,2024-06-13
INV-1292,Radiant Apparel,6913.08,2024-05-17,2024-06-07,2024-06-02
INV-1293,Beta Foods,8125.74,2024-05-18,2024-06-17,2024-07-15
INV-1294,Delta Traders,8026.31,2024-05-18,2024-06-17,2024-06-16
INV-1295,Bright Solar,34363.5,2024-05-19,2024-06-09,2024-06-08
INV-1296,Lotus Ayurveda,25936.06,2024-05-19,2024-06-18,2024-06-16
INV-1297,Walnut Woods,29071.96,2024-05-19,2024-06-09,2024-06-08
INV-1298,Pearl Cosmetics,3544.39,2024-05-20,2024-06-19,2024-06-19
INV-1299,Aarav Spices,13067.95,2024-05-21,2024-07-05,2024-07-20
INV-1300,Chirag Plastics,31754.96,2024-05-21,2024-06-11,2024-06-06
INV-1301,Beta Foods,3208.15,2024-05-22,2024-06-21,2024-07-11
INV-1302,Titan Auto Parts,9847.28,2024-05-22,2024-06-12,2024-06-12
INV-1303,Vista Packaging,20883.7,2024-05-23,2024-06-22,2024-06-27
INV-1304,Fresh Mart,10559.62,2024-05-24,2024-06-23,2024-06-28
INV-1305,Nova Pharma,26072.63,2024-05-24,2024-06-14,2024-06-12
INV-1306,Harbor Ports,19305.24,2024-05-24,2024-07-23,2024-08-17
INV-1307,Kite Interiors,16141.83,2024-05-25,2024-07-24,2024-08-10
INV-1308,Vertex Robotics,19431.25,2024-05-25,2024-07-24,2024-08-01
INV-1309,Xenon Batteries,12587.42,2024-05-25,2024-07-09,2024-07-07
INV-1310,Global Textiles,18009.98,2024-05-27,2024-06-26,2024-06-26
INV-1311,Indus Logistics,14607.25,2024-05-27,2024-06-26,2024-06-26
INV-1312,Prime Agro,19263.18,2024-05-27,2024-07-26,2024-08-19
INV-1313,Radiant Apparel,6227.42,2024-05-27,2024-06-11,2024-06-10
INV-1314,Summit Cement,55980.78,2024-05-27,2024-06-26,2024-07-15
INV-1315,Garnet Media,17882.21,2024-05-27,2024-06-17,2024-06-26
INV-1316,Saffron Exports,23689.41,2024-05-27,2024-07-11,2024-07-26
INV-1317,Triveni Power,15803.63,2024-05-27,2024-06-11,2024-06-10
INV-1318,Chirag Plastics,26924.95,2024-05-27,2024-06-26,2024-06-24
INV-1319,Titan Auto Parts,8714.89,2024-05-28,2024-07-12,2024-07-12
INV-1320,Everest Mines,60666.93,2024-05-28,2024-06-27,2024-07-22
INV-1321,Yellow Cab Fleet,6311.39,2024-05-28,2024-06-27,2024-07-05
INV-1322,Metro Builders,55078.92,2024-05-29,2024-07-13,2024-08-04
INV-1323,Vertex Robotics,52346.36,2024-05-29,2024-07-13,2024-07-26
INV-1324,Radiant Apparel,24138.92,2024-05-30,2024-06-29,2024-06-27
INV-1325,Dhanvi Jewels,16604.17,2024-05-30,2024-07-14,2024-07-12
INV-1326,Ridge Minerals,38659.24,2024-05-30,2024-07-29,2024-08-18
INV-1327,Everest Mines,70976.42,2024-05-31,2024-06-30,2024-07-14
INV-1328,Ocean Fisheries,19264.55,2024-05-31,2024-07-15,2024-07-25
INV-1329,Vista Packaging,38624.62,2024-06-01,2024-07-16,2024-07-21
INV-1330,Arjun Hardware,10500.96,2024-06-01,2024-06-22,2024-06-27
INV-1331,Quantum Steel,27975.94,2024-06-03,2024-07-18,2024-07-16
INV-1332,Dhanvi Jewels,12818.4,2024-06-03,2024-07-18,2024-08-02
INV-1333,Walnut Woods,8406.04,2024-06-03,2024-06-24,2024-06-23
INV-1334,Global Textiles,27423.58,2024-06-04,2024-06-19,2024-06-17
INV-1335,Bright Solar,28804.61,2024-06-04,2024-06-19,2024-06-18
INV-1336,Ocean Fisheries,8109.85,2024-06-04,2024-08-03,2024-08-31
INV-1337,Ridge Minerals,63464.51,2024-06-05,2024-07-20,2024-08-05
INV-1338,Cedar Furniture,3086.88,2024-06-06,2024-07-06,2024-07-26
INV-1339,Urban Café Chain,19245.92,2024-06-06,2024-06-27,2024-07-06
INV-1340,Echo Manufacturing,11612.32,2024-06-07,2024-07-07,2024-08-12
INV-1341,Bright Solar,66303.43,2024-06-07,2024-07-07,2024-07-02
INV-1342,Xenon Batteries,19424.23,2024-06-07,2024-07-22,2024-08-06
INV-1343,Delta Traders,27551.35,2024-06-08,2024-06-23,2024-06-23
